DEBUG 2024-06-25 09:31:17,870 autoreload File C:\Python312\Lib\copy.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,871 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\conf\urls\static.py first seen with mtime 1719156102.4197397
DEBUG 2024-06-25 09:31:17,872 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1719223682.4501743
DEBUG 2024-06-25 09:31:17,872 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1719156102.1992056
DEBUG 2024-06-25 09:31:17,873 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1719156104.55907
DEBUG 2024-06-25 09:31:17,874 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\compat\pickle_compat.py first seen with mtime 1719223700.9448009
DEBUG 2024-06-25 09:31:17,874 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1719156104.3405886
DEBUG 2024-06-25 09:31:17,875 autoreload File C:\Python312\Lib\multiprocessing\reduction.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,878 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1719156104.5122058
DEBUG 2024-06-25 09:31:17,879 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\dateutil\tz\__init__.py first seen with mtime 1719223700.4949088
DEBUG 2024-06-25 09:31:17,880 autoreload File C:\Python312\Lib\argparse.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,880 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\template\utils.py first seen with mtime 1719156104.4965844
DEBUG 2024-06-25 09:31:17,881 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1719156104.3712206
DEBUG 2024-06-25 09:31:17,881 autoreload File C:\Python312\Lib\re\_parser.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,881 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\reshape\pivot.py first seen with mtime 1719223701.12551
DEBUG 2024-06-25 09:31:17,883 autoreload File C:\Python312\Lib\email\policy.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,884 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\lib\format.py first seen with mtime 1719223682.387424
DEBUG 2024-06-25 09:31:17,884 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\tslib.cp312-win_amd64.pyd first seen with mtime 1719223702.8931968
DEBUG 2024-06-25 09:31:17,885 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\indexers\__init__.py first seen with mtime 1719223701.072482
DEBUG 2024-06-25 09:31:17,886 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1719156102.4197397
DEBUG 2024-06-25 09:31:17,887 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_testing\_io.py first seen with mtime 1719223702.9855635
DEBUG 2024-06-25 09:31:17,887 autoreload File C:\Python312\Lib\re\__init__.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,888 autoreload File C:\Python312\Lib\copyreg.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,888 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\admin\migrations\0001_initial.py first seen with mtime 1719156102.6856942
DEBUG 2024-06-25 09:31:17,889 autoreload File C:\Python312\Lib\logging\handlers.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,890 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\__config__.py first seen with mtime 1719223682.2357602
DEBUG 2024-06-25 09:31:17,891 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\tslibs\strptime.cp312-win_amd64.pyd first seen with mtime 1719223702.9336042
DEBUG 2024-06-25 09:31:17,892 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\plotting\__init__.py first seen with mtime 1719223701.2252884
DEBUG 2024-06-25 09:31:17,892 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1719156104.3712206
DEBUG 2024-06-25 09:31:17,894 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\io\excel\_openpyxl.py first seen with mtime 1719223701.1834483
DEBUG 2024-06-25 09:31:17,895 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1719156104.3712206
DEBUG 2024-06-25 09:31:17,895 autoreload File C:\Python312\Lib\_markupbase.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,895 autoreload File C:\Python312\Lib\quopri.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,895 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\computation\ops.py first seen with mtime 1719223701.0406861
DEBUG 2024-06-25 09:31:17,895 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\window\numba_.py first seen with mtime 1719223701.1492372
DEBUG 2024-06-25 09:31:17,895 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\PIL\_version.py first seen with mtime 1718368141.337702
DEBUG 2024-06-25 09:31:17,899 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_config\config.py first seen with mtime 1719223702.7243714
DEBUG 2024-06-25 09:31:17,899 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\tools\timedeltas.py first seen with mtime 1719223701.1387413
DEBUG 2024-06-25 09:31:17,900 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1719156104.4180832
DEBUG 2024-06-25 09:31:17,901 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\tools\__init__.py first seen with mtime 1719223701.1407475
DEBUG 2024-06-25 09:31:17,901 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\io\feather_format.py first seen with mtime 1719223701.152817
DEBUG 2024-06-25 09:31:17,902 autoreload File C:\Python312\Lib\asyncio\tasks.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,903 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1718363267.329082
DEBUG 2024-06-25 09:31:17,904 autoreload File C:\Python312\Lib\email\headerregistry.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,904 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\internals\blocks.py first seen with mtime 1719223701.1014361
DEBUG 2024-06-25 09:31:17,905 autoreload File C:\Python312\Lib\asyncio\queues.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,905 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\indexes\__init__.py first seen with mtime 1719223701.0892394
DEBUG 2024-06-25 09:31:17,906 autoreload File C:\Python312\Lib\wsgiref\handlers.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,907 autoreload File C:\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,908 autoreload File C:\Python312\Lib\asyncio\sslproto.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,910 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1719156104.3405886
DEBUG 2024-06-25 09:31:17,910 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1719156104.4809647
DEBUG 2024-06-25 09:31:17,910 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1719156104.5278285
DEBUG 2024-06-25 09:31:17,910 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\strings\object_array.py first seen with mtime 1719223701.1334898
DEBUG 2024-06-25 09:31:17,915 autoreload File C:\Python312\Lib\http\client.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,915 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\dtypes.py first seen with mtime 1719223682.2357602
DEBUG 2024-06-25 09:31:17,916 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1719156104.3332834
DEBUG 2024-06-25 09:31:17,917 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\arrays\_arrow_string_mixins.py first seen with mtime 1719223701.0025792
DEBUG 2024-06-25 09:31:17,917 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\arrays\arrow\array.py first seen with mtime 1719223701.0025792
DEBUG 2024-06-25 09:31:17,918 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1719156103.8696728
DEBUG 2024-06-25 09:31:17,919 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1719156102.773163
DEBUG 2024-06-25 09:31:17,919 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1719156104.4809647
DEBUG 2024-06-25 09:31:17,920 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\indexing.cp312-win_amd64.pyd first seen with mtime 1719223702.7992039
DEBUG 2024-06-25 09:31:17,921 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\api\__init__.py first seen with mtime 1719223700.9350598
DEBUG 2024-06-25 09:31:17,921 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\parsers.cp312-win_amd64.pyd first seen with mtime 1719223702.862397
DEBUG 2024-06-25 09:31:17,922 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\dtypes\generic.py first seen with mtime 1719223701.0514863
DEBUG 2024-06-25 09:31:17,922 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\ma\core.py first seen with mtime 1719223682.4501743
DEBUG 2024-06-25 09:31:17,923 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\plotting\_misc.py first seen with mtime 1719223701.22405
DEBUG 2024-06-25 09:31:17,923 autoreload File D:\Learning\Projects\honda - excel\backend\apps.py first seen with mtime 1718377565.121534
DEBUG 2024-06-25 09:31:17,923 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1719156103.040299
DEBUG 2024-06-25 09:31:17,927 autoreload File C:\Python312\Lib\asyncio\selector_events.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,928 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1719156104.331285
DEBUG 2024-06-25 09:31:17,929 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1719156104.402462
DEBUG 2024-06-25 09:31:17,930 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1719156104.4180832
DEBUG 2024-06-25 09:31:17,930 autoreload File C:\Python312\Lib\_compat_pickle.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,930 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\template\autoreload.py first seen with mtime 1719156104.4809647
DEBUG 2024-06-25 09:31:17,930 autoreload File C:\Python312\Lib\fnmatch.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,931 autoreload File C:\Python312\Lib\lzma.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,931 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1719156104.0895474
DEBUG 2024-06-25 09:31:17,931 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\lib\introspect.py first seen with mtime 1719223682.3894188
DEBUG 2024-06-25 09:31:17,933 autoreload File C:\Python312\Lib\ctypes\__init__.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,933 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\series.py first seen with mtime 1719223700.98243
DEBUG 2024-06-25 09:31:17,933 autoreload File C:\Python312\Lib\html\__init__.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,934 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1718363267.329082
